2015,1,1,1.4,4.3,-1.8,15,5.6,4,9.7,2,17.4,332,2,1
2015,1,2,0.8,3.4,-1.3,2.5,3.1,3.4,7.6,2,14.2,232,232,1
2015,1,3,1.7,5.1,-0.6,2,7.8,2.2,4.8,2,9,2,2,1
2015,1,4,4,9,-0.9,0,5,1.3,3,32,6,32,32,1
2015,1,5,5.9,10,3.1,0,5.1,1.3,3.7,242,6.2,242,242,0
2015,1,6,5.5,8.2,2.9,11.5,0,1.5,5,242,8.9,242,242,1
2015,1,7,4.3,6.6,2.5,0,5,4.1,6.8,242,11.1,242,2,0
2015,1,8,3.8,6,2.1,0,3.2,3.3,5.5,242,8.8,2,2,0
2015,1,9,4.7,7.1,3.3,0,3.7,2.3,5.4,2,9.1,2,2,1
2015,1,10,4.4,7.4,2.4,0,0.7,1.9,5.5,242,9.5,2,32,0
2015,1,11,5,9.6,2.1,0,5,2.9,5.8,2,11.4,32,232,0
2015,1,12,3.1,5,0.8,0.5,4.2,2.3,6.5,242,10.4,242,242,0
2015,1,13,4.5,8.3,0.1,0,3,2.1,4.7,42,7.5,2,2,0
2015,1,14,2.9,5.9,-1.3,0,0.9,1,2.2,42,3.4,3,42,0
2015,1,15,5.7,7.8,4.2,30,0,1.4,6.1,242,9.4,242,242,0
2015,1,16,6.5,8.8,3.5,0,0.7,1.9,4.3,2,7.4,2,2,0
2015,1,17,4.2,7.2,1.8,0.5,3.7,4.1,10,2,15.4,2,2,1
2015,1,18,3.8,7.4,0.9,0,4.1,1.9,3.4,242,7,32,2,0
2015,1,19,5.6,9.9,1,0,8.2,3.5,9.4,2,15.2,2,2,0
2015,1,20,4.5,7.5,0.7,0,0.8,1.6,6.1,242,10.2,2,2,0
2015,1,21,3.1,6.3,-0.8,0,0.8,1.1,2.7,42,4.5,42,42,0
2015,1,22,6.9,8.2,4.7,21,0,1,3.1,2,5.6,41,442,0
2015,1,23,5.8,8.5,4.1,2.5,0.8,3.2,5.8,242,9.5,242,242,0
2015,1,24,6.3,10.1,3.5,0,7,1.8,5.6,2,8.3,2,232,0
2015,1,25,6.5,10.6,3.3,0,5.6,1.2,2.6,42,4.4,32,331,0
2015,1,26,6.1,9,2.9,28.5,0.3,1,2.2,41,3.9,41,441,0
2015,1,27,8.5,11.7,3.8,2,1,2.1,5.5,42,13.2,442,42,1
2015,1,28,2,4.6,0,0,2.9,2,4.4,41,7.5,41,141,0
2015,1,29,2.7,5.1,0.3,0,1.2,1.3,3,141,5.5,141,331,0
2015,1,30,4.1,5.8,1.9,10,0,1.3,4.6,2,7.6,2,2,0
2015,1,31,2.4,5.1,0,1,2.7,2.6,6.1,42,11.4,242,42,0
2015,2,1,2.2,5.5,-0.2,0.5,2.9,3.1,5.8,2,8.5,2,2,0
2015,2,2,3.2,4.6,2.4,0,0.2,2.2,4.5,2,7.4,2,242,0
2015,2,3,3.9,5.5,2.2,0,0,1.6,3.7,242,6.6,2,2,0
2015,2,4,4.9,8.3,2.9,0,4.6,1.1,2.7,42,4.7,4,31,0
2015,2,5,4.4,7.7,2.4,0,0.8,1.4,4.2,242,7.5,2,2,0
2015,2,6,4.6,7.6,2.4,0.5,3.7,2.6,5.5,42,9.2,441,42,0
2015,2,7,4.3,9.6,-0.6,0,8.1,1.4,3,42,5,42,331,0
