年,月,日,今津降水量の合計(mm),南小松降水量の合計(mm),大津降水量の合計(mm),今津1時間降水量の最大(mm),南小松1時間降水量の最大(mm),大津1時間降水量の最大(mm),今津平均風速(m/s),南小松平均風速(m/s),大津平均風速(m/s),今津日照時間(時間),南小松日照時間(時間),大津日照時間(時間),今津最深積雪(cm),今津降雪量合計(cm),今津最大風速(m/s),今津最大風速方角(m/s),今津最大瞬間風速(m/s),今津最大瞬間風速方角(m/s),今津最多風向(16方位),南小松最大風速(m/s),南小松最大風速方角(m/s),南小松最大瞬間風速(m/s),南小松最大瞬間風速方角(m/s),南小松最多風向(16方位),大津最大風速(m/s),大津最大風速方角(m/s),大津最大瞬間風速(m/s),大津最大瞬間風速方角(m/s),大津最多風向(16方位),今津平均気温(℃),今津最高気温(℃),今津最低気温(℃),南小松平均気温(℃),南小松最高気温(℃),南小松最低気温(℃),大津平均気温(℃),大津最高気温(℃),大津最低気温(℃),今津10分間降水量の最大(mm),南小松10分間降水量の最大(mm),大津10分間降水量の最大(mm),遅延フラグ(遅延1)
2015,5,25,0,0,0,0,0,0,1.7,1.3,2.2,11.2,7.9,10.1,0,0,4.9,4,8.6,4,6,3.8,3,7.2,3,4,6,3,11.1,3,4,21.6,27.7,16,21,28.8,16,21.4,28.5,15,0,0,0,0
2015,5,26,0,0,0,0,0,0,1.9,1.3,1.7,12.7,12.8,13,0,0,5.2,6,8.5,6,6,3.6,0,9.7,0,2,3.8,1,6.7,1,4,21.4,28.3,15.2,21.4,29.7,16.1,22.8,30,16.6,0,0,0,0
2015,5,27,0,0,0,0,0,0,1.6,1,1.7,13.2,12.5,12.8,0,0,3,6,4.8,6,6,2.4,2,3.7,2,2,3.3,7,4.8,0,7,21.4,29.5,12.4,21,29.1,14.1,22.6,31,14.2,0,0,0,0
2015,5,28,0,0,0,0,0,0,2.1,1,2.5,7.9,7.6,7.5,0,0,5.9,2,8.4,2,2,2.3,4,5.2,4,4,5.5,2,9.3,2,2,21.7,26.8,15.2,21.6,26.8,15.4,22.5,28.1,16.7,0,0,0,0
2015,5,29,0,0,0,0,0,0,1.8,1.5,1.9,7.6,6.1,6.1,0,0,3.9,6,6.4,5,6,3.2,7,6.1,0,6,3.8,7,7.2,2,2,22.1,28.2,17.6,22.9,29.2,19.5,23.6,30.3,20.1,0,0,0,0
2015,5,30,0,0,0,0,0,0,1.6,1.2,2.1,8.2,8.2,9.3,0,0,4.4,0,7.9,0,6,3.5,2,6.9,2,2,4.2,2,7.6,4,6,22.2,29.7,16,22.6,27.7,17.2,24.5,31.6,20,0,0,0,0
2015,5,31,0,0,0,0,0,0,3.2,2.5,1.9,6.6,5.4,7.4,0,0,7.3,6,12.6,6,6,7.8,7,16,0,0,3.7,1,7.6,0,1,20.2,24.5,18.2,21.3,24.9,17.4,22.1,27,18.6,0,0,0,0
2015,6,1,0,0,0,0,0,0,1.9,1.2,2.1,11.1,9.2,10.2,0,0,5.4,2,8.2,2,2,3.2,4,6,4,4,4.4,2,7.5,3,3,22.3,28.4,15.4,21.7,27.7,15.3,22.6,29.8,15.8,0,0,0,0
2015,6,2,0,0,0,0,0,0,2.1,1,1.7,6.1,5.1,4.5,0,0,5.4,2,8.2,2,2,2.6,2,4,2,2,3.7,7,6.7,5,2,22.6,26.8,18.2,22.7,27,18.1,23.9,29.2,19.1,0,0,0,0
2015,6,3,39.5,30,56.5,20.5,15,18,1.8,1.2,1.8,0.5,0,0,0,0,5.9,7,11.6,7,7,4.3,6,10.5,7,2,3.6,6,7.7,7,0,20.3,23.3,15.3,20.9,23.3,16.9,21.1,23.1,18.4,6,4,5,1
2015,6,4,0,0,0,0,0,0,2.9,2.9,2.3,10.8,11.7,13.3,0,0,6.3,7,14.3,7,0,6.3,0,19.8,1,0,4.6,0,10.5,0,0,18.2,22.2,14,19.1,23,15,19.6,25,13.5,0,0,0,0
2015,6,5,31,23,25,9.5,5.5,6.5,1.9,1,1.6,0.1,0.1,0,0,0,7.8,2,11.8,2,2,3,2,5.6,0,0,3.8,1,7.3,0,1,15,17.7,13,15.3,18.1,13.3,15.2,17.7,13.2,2,1.5,2,0
2015,6,6,0.5,1,3,0.5,0.5,2.5,2.4,1.8,1.9,5,5.9,5.4,0,0,4.8,6,8.7,6,6,4.8,6,11.6,6,7,4,7,6.9,5,7,17.2,21.7,13,17.6,21.8,13.7,17.5,22.6,13.6,0.5,0.5,1,0
2015,6,7,0,0,0,0,0,0,1.8,1.3,2.1,5.6,3.1,2.8,0,0,3.9,2,6.7,2,2,3.2,4,6.3,4,4,4.9,2,8.6,2,2,19,23.6,13.2,19.3,23.5,13.7,19.4,25.3,13.1,0,0,0,0
2015,6,8,10.5,20,11.5,3.5,4.5,3.5,3.4,1.9,2.5,0,0,0,0,0,6.9,2,10.2,2,2,4.8,4,9.8,4,4,5.4,2,10.4,2,2,18.5,20.1,16.8,18.9,20.8,17.2,19.3,22.5,17.1,1,1.5,1,0
2015,6,9,17,32,27,5.5,11,8,1.5,1,1.1,0,0,0,0,0,6.1,2,9.9,2,6,3.3,6,8.6,5,6,4.4,2,7.9,2,0,19.1,21.1,17.1,19,21,17.5,19.5,22.7,17.6,1.5,2.5,2,0
2015,6,10,0,0,0,0,0,0,1.8,1.1,1.3,11.2,10.3,10.8,0,0,3.5,0,6.6,0,6,2.9,2,4.2,2,4,2.4,6,4.6,2,4,21.7,27,17,20.6,25.5,16,22.2,28.9,16,0,0,0,0
2015,6,11,14,8,13.5,4,3,4.5,1.7,0.7,1.4,0.6,0.1,0,0,0,3.9,2,6.1,2,2,2.2,4,4.8,4,4,4.1,2,7.1,2,2,19.7,24.5,16,20,24.2,17.4,20.2,24.5,18.1,1,1.5,2.5,0
2015,6,12,13,4,14,5,2,7,1.2,1.2,1.5,4,2,5.8,0,0,3.2,2,5.8,6,0,3.7,0,8,7,2,4.2,5,9,4,2,21,25.1,18.6,21.2,25.7,18.7,23,29.8,18.7,5,1,3.5,1
2015,6,13,0,0,0,0,0,0,1.2,1.1,1.6,6.7,7.4,7.1,0,0,2.5,2,3.5,2,6,3,2,4.3,2,2,3.7,6,7.9,6,4,21.9,26.9,16.4,21.8,25.8,16.9,24.4,31.4,18,0,0,0,0
2015,6,14,0,0,0,0,0,0,1.4,0.9,1.5,3.4,2.8,1.3,0,0,3,2,4.4,2,2,2.6,3,3.7,0,6,3.4,2,6.8,2,4,22.3,26.1,19,22.7,26,19.4,23.8,27.8,21.3,0,0,0,0
2015,6,15,0,0,0,0,0,0,1.4,0.9,1.4,9.1,9,7.2,0,0,3.4,2,4.6,2,6,2.3,2,3.5,2,2,2.8,6,5.8,5,4,22.6,27.3,17.3,22.9,28.4,17.8,24.8,30,20.6,0,0,0,0
2015,6,16,0,3,0,0,2.5,0,1.4,0.8,1.1,1.8,0.4,0.4,0,0,3.2,2,4.9,5,6,3.5,7,7.4,7,6,3.3,1,6,0,4,22.4,25.9,20.1,21.8,25.3,18.7,22.8,25.8,20.3,0,1.5,0,0
2015,6,17,9.5,2,21,7.5,1.5,9,1.5,1.3,1.7,8.9,5.6,8.1,0,0,3.8,4,6.2,4,6,4.1,4,8.4,4,7,4.6,2,9.4,2,4,23.2,28,18.8,22.5,27.7,18.2,23.2,30.1,19.1,3.5,1,3.5,0
2015,6,18,3,4,3.5,1.5,1.5,1.5,2.9,1.7,2.9,0,0,0,0,0,6.4,2,9.1,2,2,5.1,4,9.3,4,6,5.9,2,13.1,2,2,20.9,23.6,18.4,20.4,22.7,18.2,20.6,22.8,18.4,0.5,0.5,0.5,0
2015,6,19,8,4,8.5,2,1,2.5,1.5,1.2,1.7,0,0.2,0,0,0,3.5,6,5.9,5,6,3.2,6,6.9,7,6,3.9,1,7.6,3,1,19.6,21.2,18.2,19.3,21.8,17.6,19.4,21.8,17.4,0.5,0.5,1,0
2015,6,20,0,0,2,0,0,2,1.3,0.8,1.6,2.9,1,5.4,0,0,3.2,0,6.1,0,6,2.6,2,3.9,2,2,3.9,7,6.1,7,7,21.1,25.2,18.8,21,23.9,18.9,22.2,25.7,18.5,0,0,1.5,0
2015,6,21,44,24,11,33,8,7.5,1.3,1.1,1.5,3.1,4.5,4.2,0,0,4,2,6.3,7,6,5,2,7.6,2,2,3.9,0,9,0,0,20.5,24.1,18,20.9,23.6,18.6,21.6,26.8,18.5,11.5,5.5,6.5,0
2015,6,22,0,0,0,0,0,0,1.3,1,1.3,6.6,2.3,3.4,0,0,2.7,3,4.3,3,6,2.6,2,4.1,4,2,2.5,7,4.4,4,3,21.6,25.2,16.6,21.8,25,18.4,22.8,26.7,18,0,0,0,0
2015,6,23,0,0,0,0,0,0,1.5,1.2,1.5,7.1,8,8.4,0,0,3,6,4.9,3,6,2.9,2,4.2,2,2,4.5,0,9.6,0,7,23.5,28.2,19.9,23.4,28.9,19.6,24,30,20.3,0,0,0,0
2015,6,24,0,0,0,0,0,0,1.4,1.1,1.9,10.1,7.7,7.9,0,0,3,6,4.7,2,6,2.4,2,3.7,2,2,4.2,7,6.6,7,7,24.1,29,19.3,23.7,28.7,19.4,24.5,30.1,20.1,0,0,0,0
2015,6,25,0,0,0,0,0,0,2.7,1.4,2.5,8.5,7.1,7,0,0,4.9,2,7.9,4,2,3.8,4,7.2,4,4,5.1,2,9.9,3,2,24.7,28.6,21.8,24.3,28.4,20.6,25.2,29.7,21.4,0,0,0,0
2015,6,26,49,75.5,60.5,8.5,10,11.5,3.5,1.7,1.7,0,0,0,0,0,6.5,2,9.2,2,2,3.9,6,7.4,6,6,3.5,2,6.9,2,0,21.2,23,20.2,21.4,22.9,20.2,21.4,23.2,20.4,2,2.5,2.5,0
2015,6,27,2.5,0,0,1.5,0,0,2,1.4,3,0.3,0.5,1.1,0,0,6.8,6,12.3,6,7,4.3,6,13.1,6,5,5.6,6,11.2,6,6,21,23.9,18.4,22.1,24.4,20.4,22.8,25.3,20.6,0.5,0,0,0
2015,6,28,1.5,1,0,1,0.5,0,3.3,2.5,2.8,5.2,3.1,3.5,0,0,5.4,7,10.5,0,0,5.8,0,17.3,0,0,5.2,0,10.5,0,6,19.3,21.9,17.5,20,23,18,20.7,23.9,19.1,0.5,0.5,0,0
2015,6,29,0,0,0,0,0,0,2,1.5,2.3,12.8,8.2,9.2,0,0,4,2,7,7,2,3.6,2,7.4,0,2,4.2,7,8.1,7,2,21.6,26.4,17.3,21.4,25.8,16.4,21.9,27.9,16.6,0,0,0,0
2015,6,30,15,13.5,15,8,4.5,3.5,2.5,1.1,1.7,0.1,0.2,0.8,0,0,4.8,2,7.2,2,2,3,3,6.7,3,4,4.7,2,7.8,3,3,21.5,23.9,18.9,21.3,24.4,18.5,21.8,26.9,18.7,2,1.5,1.5,0
2015,7,1,37.5,56,57.5,8,10,23,1.9,1,1.8,0.1,0,0,0,0,4.3,2,10.9,6,2,3.3,6,6.5,5,6,6.2,6,14.9,5,0,20.3,23,18.2,20.6,23.1,18.1,21.4,26.1,18.4,2,2.5,10,0
2015,7,2,0,0,0,0,0,0,1.3,0.9,1.4,8.2,6.3,3.1,0,0,2.9,2,5.1,6,6,2.8,2,3.8,2,2,3.3,6,7.5,4,4,22.6,27.7,18.4,22.8,26.8,19.6,24.3,29.7,20.3,0,0,0,0
2015,7,3,0,0,7,0,0,4.5,1.4,1,1.2,4.4,4.1,3.6,0,0,3.5,2,4.9,3,6,2.8,3,4.2,3,6,3.4,7,4.6,6,4,23.3,27.2,20.1,23.4,27,21,23.7,28.2,20.1,0,0,1.5,0
2015,7,4,6.5,16.5,9.5,2,8.5,2.5,0.8,0.7,1.2,0,0,0,0,0,2.2,3,3.5,3,4,2.3,2,5.2,4,7,2.5,5,5.1,4,4,21.4,22.8,19.8,21.6,23.2,19.7,22.1,23.9,19.5,1,3,1,0
2015,7,5,2.5,0,0.5,2.5,0,0.5,1.2,1,1.3,2.4,2.6,0.9,0,0,2.9,0,5.4,7,0,2.8,4,5.9,6,4,2.7,2,5.1,0,2,21.3,25.1,18.4,21.8,25.2,19.2,21.8,25.8,19.2,1,0,0.5,0
2015,7,6,0.5,1,2,0.5,1,1.5,0.9,0.8,1.1,0.6,0.3,0,0,0,2,4,3.5,0,6,2.6,2,3.8,2,2,2.2,0,4.1,7,2,21.2,24,18.8,21.4,23,20.2,21.5,22.6,20.4,0.5,0.5,0.5,0
2015,7,7,9.5,14,13,3.5,4.5,3.5,0.7,0.6,1,0,0,0,0,0,1.7,6,2.8,2,2,2.1,2,5.3,0,2,2.3,7,4.4,0,0,21.3,23.2,19.8,21.3,22.4,19.9,21.5,22.7,20.3,1,1.5,1,0
2015,7,8,2,1,0.5,1.5,0.5,0.5,0.8,0.9,1.2,0,0.2,0.1,0,0,1.7,2,4.1,0,0,2.6,2,3.6,6,2,3.1,7,5,7,0,23.4,26.8,20.5,23.3,25.4,21,23.4,26.8,20.9,0.5,0.5,0.5,0
2015,7,9,52.5,23,2,23,17.5,1,0.9,0.7,1.3,0.2,0.3,0.5,0,0,3.5,6,5.5,6,6,2.4,2,4.3,2,4,3.9,7,7.6,7,7,24,27.1,22.2,24.2,27.3,22.5,24.8,28.7,22.8,8.5,7,0.5,0
2015,7,10,0,0,0,0,0,0,1.3,1,1.7,10,3.6,8.5,0,0,3.3,2,5,3,2,2.7,2,3.8,2,2,4.3,7,6.6,7,7,26,30.7,22.1,25.3,29.3,22.5,26.6,31.3,23,0,0,0,0
2015,7,11,0,0,0,0,0,0,1,1,1.5,4.5,2.6,4.4,0,0,2.1,2,3.5,2,2,2.4,2,3.9,2,2,3.1,6,6.4,5,4,26.6,29.8,23.6,25.9,29.5,23.9,27.5,32.8,24.6,0,0,0,0
2015,7,12,0,0,0,0,0,0,2.4,1,1.5,7.8,8.1,6.7,0,0,5.4,2,8.9,2,2,2.7,2,3.8,2,2,3.4,6,6,6,4,27.5,31.5,23.9,27.1,31.2,22.6,28.3,33.7,23.6,0,0,0,0
2015,7,13,0,0,0,0,0,0,3.2,2.7,2.2,4.6,7.2,6.3,0,0,8.2,4,14.1,4,4,6.9,4,12.2,5,4,5,5,12.2,5,4,28.8,34.3,25.4,28.8,34,24.7,29.7,34.8,25.2,0,0,0,0
2015,7,14,0,0.5,0,0,0.5,0,2.2,1.1,1.9,7.9,6.9,11.9,0,0,6.3,2,8.9,2,2,3.1,2,6.8,2,2,4.3,2,8.6,6,4,27.9,32.4,23.8,27.9,32.2,23.7,29.6,34.9,24.1,0,0.5,0,0
2015,7,15,0,0,0,0,0,0,2.3,1.4,2.8,12,10.1,9,0,0,4.3,2,9.1,3,2,3.4,4,6.1,4,0,5.6,2,10,2,2,28.4,32.6,25,27.9,32.8,25.1,28.4,33.5,24.4,0,0,0,0
2015,7,16,11,15,20.5,4.5,5.5,5,4.2,2.3,4.5,0.8,0.3,0,0,0,10.6,2,17.5,2,2,4.6,2,10.9,2,0,8.2,2,19.3,2,2,26,28.6,22.9,26.2,28.2,23.4,25.4,28,23.2,1,1.5,2,0
2015,7,17,70,110,53,10.5,22.5,15.5,6,3.5,3.3,0,0,0,0,0,10.8,2,17.3,2,2,8.3,3,16.8,3,3,8.3,2,17.1,2,2,24.6,27.1,22.8,25.2,27.8,22.6,25.2,27,23,2.5,5,3.5,1
2015,7,18,68.5,61.5,40.5,15,16,9,1.8,1.4,1.4,1.7,0.8,4,0,0,4.8,4,12.7,4,4,5.4,4,9.5,4,4,3.2,6,7.6,5,6,23.2,26.2,21.9,23.4,26.3,21.7,24.9,29.5,22.1,4.5,3,2,1
2015,7,19,1.5,1,0,1,0.5,0,0.9,0.8,1.4,1.3,1.1,0.9,0,0,2.6,2,3.9,2,2,2.9,4,5.2,4,2,3.2,6,6.6,5,4,25.5,29.2,21.6,25.4,29.4,22.1,27,31.7,23.2,0.5,0.5,0,0
2015,7,20,0,0,0,0,0,0,2.1,1.4,1.9,13.1,9.8,10.4,0,0,4.8,2,6.8,4,2,4.5,4,7.6,4,4,4.3,6,9.8,5,5,28.1,32.7,23.7,27.7,33.1,23.3,28.5,34.7,23.3,0,0,0,0
2015,7,21,8,3,0,8,3,0,2.5,0.9,1.4,2,1.4,5,0,0,6,2,9.3,2,2,3.5,3,8.9,3,6,3.5,6,6.9,6,7,26.4,30.5,23.4,26,29.9,22.6,27.3,31.9,22.7,4.5,2,0,0
2015,7,22,29.5,40.5,17,17.5,21,7,2.6,1.4,1.7,0.4,0,0,0,0,7.2,2,10.7,2,2,3.5,6,6.8,3,6,3.4,2,7.5,5,4,25.1,27.6,24.2,25.1,27.4,23.9,25.6,28.3,24.1,4.5,9.5,3,0
2015,7,23,21,14.5,24.5,9.5,6,5.5,1,1.1,1.7,0,0,0.2,0,0,2.4,4,4.3,4,4,5.3,4,8.9,4,4,4.6,6,9.3,6,4,24.1,25.3,23.2,24.2,25.8,23.1,24.8,26.4,23.6,3,2,2,0
2015,7,24,0,0,0,0,0,0,1.1,1,1.7,7.7,7.8,7.6,0,0,2.5,2,3.7,2,2,3.2,2,4.4,2,2,3.5,6,7.2,5,6,26.1,30.5,22.8,25.9,30.2,22.3,27.8,33.1,23.2,0,0,0,0
2015,7,25,0,0,0,0,0,0,1.6,1.5,2.2,10.7,11.9,12,0,0,2.7,1,4.6,1,2,4.5,4,8.1,4,6,4.9,6,10.3,5,6,26.6,31.4,21.9,27.2,32.2,22.1,28.3,32.9,23.3,0,0,0,0
2015,7,26,0,0,0,0,0,0,1.5,1.2,1.9,13.1,12.6,13.2,0,0,2.9,5,6,4,6,3.1,4,6.8,6,2,5.1,6,9.3,6,6,27.3,32.6,22.1,27.6,34,22.6,29.3,35.4,25,0,0,0,0
2015,7,27,2,0,0,1,0,0,1.2,0.9,1.7,1.3,2.4,4.4,0,0,3.6,6,6,6,1,2.9,2,4.3,2,2,4.1,6,7.6,6,4,27,31,24.1,27.3,31.1,24,28.3,32.4,24.6,0.5,0,0,0
2015,7,28,0,0,7,0,0,5,1.2,1,1.3,3.6,3,3.4,0,0,3.6,7,6.8,6,6,2.7,2,4.8,2,6,3.5,7,6.4,7,6,26.7,30.8,23.1,26.7,29.7,24.2,27.4,31.7,25.2,0,0,2.5,0
2015,7,29,0,0,21,0,0,19.5,1.3,1.1,1.3,6.6,4.5,4.8,0,0,3.4,0,6.6,0,6,3.5,2,5.2,2,2,3.9,7,7.5,5,4,27.6,31.9,24.7,27.3,31.1,25.6,27.4,32.2,24.8,0,0,10,0
2015,7,30,0,1,10.5,0,1,8.5,1.4,1,1.2,2.3,2.9,4.9,0,0,3.7,6,7.6,6,6,2.7,6,4.5,6,6,3.1,0,6.6,0,4,27.2,31.4,24.3,27,30.3,24.5,27.3,32.3,24.4,0,0.5,5,0
2015,7,31,0,0,0,0,0,0,1.4,1.1,1.6,11.6,11,12.1,0,0,4.2,0,7.1,0,6,2.9,2,4.2,0,2,4,7,7.6,6,4,27.8,33.7,23.4,27.9,32.4,24.2,29,34.1,24.6,0,0,0,0
2015,8,1,0,0,0,0,0,0,1.4,0.9,1.4,12.3,9.5,11.8,0,0,2.5,2,4.1,3,6,2.4,2,3.8,3,2,3.4,7,6.2,6,4,28.6,34.4,22.6,28.6,33.5,23.7,30,35.8,24.1,0,0,0,0
2015,8,2,0,0,0,0,0,0,1.3,1.2,1.5,10.4,9.8,11.3,0,0,2.7,3,4,3,6,3.1,2,5.5,2,2,3.3,6,5.2,6,4,29.7,34.4,24.6,29.9,34.5,25.7,31.1,37.5,25.5,0,0,0,0
2015,8,3,0,1.5,2,0,1,2,1.5,1.2,1.6,8.2,5.6,9,0,0,3.2,2,4.8,6,6,2.5,2,4.6,0,6,5.5,6,9.8,6,4,29.3,34.1,25.4,29.2,32.5,26.1,29.7,35.6,26.4,0,1,0.5,0
2015,8,4,0,0,0,0,0,0,1.5,1.1,1.5,10.6,11,9.1,0,0,4.1,2,6.6,2,2,3,2,4.6,6,2,3,7,5.1,2,6,29.4,34.2,24.4,29.3,33.7,24.8,30.1,35.2,25.1,0,0,0,0
2015,8,5,0,0,0,0,0,0,2,1.2,2,12.2,12,10.5,0,0,5.2,2,8,2,3,3.1,4,5.9,4,6,4.4,3,7.8,3,2,29.9,34.5,25.2,29.8,34.9,24.6,29.5,35,25,0,0,0,0
2015,8,6,0,0,0,0,0,0,2.5,1.1,1.7,5,4.1,1.3,0,0,5.6,2,8.2,2,2,3.5,2,6,2,0,3.4,2,6.7,2,2,28.8,32.5,25.8,28.9,33.1,26.3,29.1,33.2,26.8,0,0,0,0
2015,8,7,0,0,0,0,0,0,1.6,1.3,1.4,10.1,8.8,8.4,0,0,3.3,6,6.2,0,6,3,2,4.4,0,2,3.2,1,5.8,1,4,29.2,34.9,24.8,29.7,33.9,26.4,30.5,35.9,26.6,0,0,0,0
2015,8,8,0,0,0,0,0,0,1.7,1.2,1.7,12,9.5,8.3,0,0,4,6,6.5,6,6,2.8,2,4.2,2,6,4,7,7.6,7,4,28.7,34.2,24.5,29.3,34,25.5,29.3,35.9,25.2,0,0,0,0
2015,8,9,0,0,0,0,0,0,1.7,1.4,1.7,11,10.7,11.2,0,0,3.2,5,5.1,2,6,2.9,4,6,3,6,3.4,3,6.4,3,3,28.8,34.2,24,29.3,33.7,26,29.4,35.2,24.6,0,0,0,0
2015,8,10,0,0,0,0,0,0,1.8,1.3,1.7,11.1,11,10,0,0,4.1,0,7.6,0,6,3.1,0,7.4,1,2,3.6,2,7.1,0,4,27.6,34,22.7,28.2,33.5,24.2,29.1,35.3,24.2,0,0,0,0
2015,8,11,0,0,0,0,0,0,1.7,1.4,1.7,9.1,9.3,9.4,0,0,4.5,6,8.3,6,6,3.7,0,7.6,1,0,4.6,2,7.8,1,4,26.8,32.2,21.3,27.6,33.6,22.9,28.4,34,23.3,0,0,0,0
2015,8,12,0,1,0.5,0,1,0.5,1,0.9,1.3,1,1.2,2.5,0,0,2.1,1,3.6,1,6,2.4,2,3.9,2,6,3.1,6,5.7,0,4,26.5,29.8,23.8,27,30.3,23.6,27.6,33,23.1,0,0.5,0.5,0
2015,8,13,14,13,36,6.5,8,19,1.2,0.8,1,0.6,0.6,0.6,0,0,2.9,6,5.1,6,0,2.5,2,4,2,6,2.5,7,4.4,7,7,25.2,28.1,22.7,25.3,27.9,22.5,25.2,28.6,22.4,2,3.5,5,0
2015,8,14,4,0,0,4,0,0,1.9,1.5,1.9,4.6,4.2,6.5,0,0,4.1,6,7.9,0,6,4,7,8.4,0,0,4.1,2,6.7,2,7,25.8,30.6,22.7,27.2,31.5,23.6,27.3,31.9,23.5,3,0,0,0
2015,8,15,0,0,0,0,0,0,1.6,1.1,1.6,11.9,11,12,0,0,3.6,2,5.7,4,6,2.9,3,6.1,0,3,3.9,7,6.2,0,4,26.4,31.6,21.3,26.6,31.3,21.8,27.2,33,21.7,0,0,0,0
2015,8,16,0.5,1.5,2,0.5,1.5,1,1.7,1.2,1.6,6.3,4.5,2.7,0,0,5.3,2,9.8,4,2,4.3,3,8.6,4,3,3.4,3,6,2,4,26.4,31.5,20.6,26.2,30.2,21.4,25.9,30.6,21.7,0.5,0.5,0.5,0
2015,8,17,23.5,39,66.5,7.5,13.5,21,1.9,1.1,1.5,0.3,0.2,0.7,0,0,7.2,6,13,6,2,5.8,6,12,6,3,5.8,6,11,4,4,24.5,28.2,21.9,24.4,28.3,22.5,25.3,31,22.6,3.5,9,7.5,0
2015,8,18,0,0,0,0,0,0,1.7,1.3,1.6,8.7,7.4,9.8,0,0,3.9,7,7.7,6,6,3.5,6,7.2,7,6,3.5,7,5.8,0,1,25.5,30.4,20.8,25.9,30.4,20.9,26.3,31.9,21.2,0,0,0,0
2015,8,19,0,0,3,0,0,3,1.5,1.1,1.5,3.7,2.6,0.1,0,0,3.4,4,5.8,3,6,2.7,4,5.5,3,4,2.6,4,5.9,4,4,25.8,30,22.3,25.9,28.7,22.6,25.6,28.8,23.2,0,0,1.5,0
2015,8,20,4.5,10.5,63,1.5,6.5,18,1.1,0.7,1.1,0,0.1,0.3,0,0,3,2,4.6,3,2,2.9,4,5.1,4,4,2.3,4,4.4,4,4,24.8,26.8,23.8,25.2,28.4,23.5,25.3,28.1,23.3,1,2.5,5,0
2015,8,21,3,8,7.5,2.5,6,4,0.8,0.8,1.1,0,1,1.9,0,0,1.9,1,3.5,3,0,2.6,2,3.9,2,2,3,7,5.1,6,7,24.8,27.3,22.6,24.9,27.7,22.3,25.5,30.6,22.2,1.5,5,2,0
2015,8,22,8,0,0,5,0,0,1.3,2.6,1.9,2.8,4.2,3.8,0,0,4,6,8.9,6,0,6.8,7,11.7,6,6,4.1,1,7.9,2,4,25.8,28.5,24.6,27.2,31,24.9,26.9,30.8,23.1,2,0,0,0
2015,8,23,0,0,0,0,0,0,2.4,3.1,1.8,10.9,11.1,9.7,0,0,6.4,7,12.1,6,0,6.7,7,13.9,0,7,3.6,0,7.1,0,4,26.2,30.4,22.7,26.8,30.6,22.7,26.2,31.7,22.4,0,0,0,0
2015,8,24,0,0,0,0,0,0,1.7,1.1,1.8,6.7,6.4,8.3,0,0,3.7,6,6.5,0,6,3.2,4,4.9,4,4,3.8,2,7.1,6,4,25.4,30.8,21.4,25.9,31.3,21.9,25.9,31.6,20.7,0,0,0,0
2015,8,25,20.5,19,5.5,7.5,6.5,2.5,5.4,2.4,3.5,0,0,0,0,0,9.2,2,16.9,2,2,5.2,6,11.2,4,6,7.7,2,15.9,3,2,23.4,25.1,21.7,23.5,25.6,21.5,24,25.8,22.1,2.5,3,1,0
2015,8,26,1,1,1,3,2,0.5,2.5,1.6,1.9,5.4,3.6,4.8,0,0,5.2,4,8.5,4,4,4.8,4,9.1,6,6,4.4,2,8.2,4,1,24.8,29.8,21.7,25.4,29.7,21.6,25.9,31.5,21.6,0.5,0.5,0.5,0
2015,8,27,0,0,0,0,0,0,1.6,1.2,1.9,11.2,11.2,10,0,0,3.6,2,7.3,7,6,3,3,4.5,4,2,4,7,6.5,7,2,24.5,30.4,19.1,24.9,28.7,20.8,26,31,22.5,0,0,0,0
2015,8,28,44.5,6,0,18.5,5,0,1.6,1.2,1.8,7.4,6.7,6.3,0,0,4.4,2,7.2,2,6,3,2,5,2,2,5.1,3,9.4,3,4,23.7,30.3,17.3,24.4,29.1,19.7,25.6,31.7,20.8,4,2,0,0
2015,8,29,18.5,23,17,15,16.5,7.5,1.2,1,1.2,1.7,2.1,1.4,0,0,3.3,4,6.8,4,2,3,2,5.2,0,2,3.3,7,5.3,7,7,24.1,27.4,22.2,24.2,26.8,22.3,24.9,28.3,22.5,11.5,6.5,2,0
2015,8,30,6,8,32.5,3.5,4,22.5,1.6,1.2,1.1,0.4,0,0,0,0,4.1,4,6.9,4,6,4.3,4,7.4,4,6,3.3,6,5.9,5,4,24.1,28.3,22,24.3,26.9,22.1,24.3,26.8,22.3,1.5,1.5,9.5,0
2015,8,31,5.5,20,2.5,3.5,14.5,1,1.2,0.7,1.1,0,0,0,0,0,3.9,4,6.1,4,6,2,3,3.7,3,6,2.5,1,4.3,0,4,23,25.2,21.5,23.1,24.6,21.9,23.5,25.7,22.2,1.5,6,1,0
2015,9,1,32.5,32.5,10,14.5,12,4,1.8,1,1.2,0,0,1.1,0,0,6.7,2,10.6,2,2,4.2,4,9.2,4,6,4,3,6.9,2,3,23.8,26.4,21.5,24.1,27,21.8,24.9,29.7,22.1,9,8.5,3,0
2015,9,2,10.5,11,10.5,7,8.5,8,1.5,1.3,1.5,4.2,4.1,3.2,0,0,3.7,6,6.9,0,6,4.1,7,9.1,0,7,3.4,2,5.9,6,2,23.8,27.9,20.7,24.6,28.3,22.4,24.9,28.8,22.5,4.5,4,3.5,0
