年,月,日,今津降水量の合計(mm),南小松降水量の合計(mm),大津降水量の合計(mm),今津1時間降水量の最大(mm),南小松1時間降水量の最大(mm),大津1時間降水量の最大(mm),今津平均風速(m/s),南小松平均風速(m/s),大津平均風速(m/s),今津日照時間(時間),南小松日照時間(時間),大津日照時間(時間),今津最深積雪(cm),今津降雪量合計(cm),今津最大風速(m/s),今津最大風速方角(m/s),今津最大瞬間風速(m/s),今津最大瞬間風速方角(m/s),今津最多風向(16方位),南小松最大風速(m/s),南小松最大風速方角(m/s),南小松最大瞬間風速(m/s),南小松最大瞬間風速方角(m/s),南小松最多風向(16方位),大津最大風速(m/s),大津最大風速方角(m/s),大津最大瞬間風速(m/s),大津最大瞬間風速方角(m/s),大津最多風向(16方位),今津平均気温(℃),今津最高気温(℃),今津最低気温(℃),南小松平均気温(℃),南小松最高気温(℃),南小松最低気温(℃),大津平均気温(℃),大津最高気温(℃),大津最低気温(℃),今津10分間降水量の最大(mm),南小松10分間降水量の最大(mm),大津10分間降水量の最大(mm),遅延フラグ(遅延1)
2015,3,25,3,5.5,0,1.5,2,0,2.9,2.5,3,7.8,6.6,6.2,0,0,9.4,7,14.5,6,0,6.6,7,19.5,0,0,6.3,6,12.4,0,6,4.7,9.2,0.6,4.8,8.2,0.6,5.4,9.8,1.8,0.5,0.5,0,0
2015,3,26,0,0,0,0,0,0,2.2,1.5,1.8,11.7,11.1,11.7,0,0,4.4,0,9.2,0,6,3.9,3,7.6,0,3,3.7,1,6,1,4,5.6,12.6,-0.4,5.9,12.5,0.1,6.9,14.6,0.7,0,0,0,0
2015,3,27,0,0,0,0,0,0,1.5,0.9,1.7,11.5,11.2,11.4,0,0,2.7,2,4.2,2,6,2.4,2,4.5,2,2,3.7,5,7.5,5,4,6.9,16,-1.4,6.8,13.6,-0.4,9.7,18.5,0.7,0,0,0,0
2015,3,28,0,0,0,0,0,0,1.7,1,1.9,9.7,9,9.9,0,0,2.9,2,4.2,2,6,3.2,2,5,6,2,4.3,6,9.9,4,4,9.9,18.4,3.1,10.1,17.6,4.5,12.9,20.8,6.1,0,0,0,0
2015,3,29,4,4,4.5,1.5,2,2,0.9,0.7,1,0.4,0,0.1,0,0,2.6,7,5.4,0,6,3.5,6,8.8,6,1,3.3,7,4.7,1,4,9.9,12.2,6.5,10,12.7,7.7,10.7,12.6,8.2,1,1,0.5,0
2015,3,30,0,0,0,0,0,0,1.8,1.3,1.6,11.1,10.8,11.2,0,0,4.4,6,9.5,6,6,3.7,0,9.7,7,2,3.4,7,5,6,3,11.4,18.1,6,10.9,15.8,6.4,11.5,18.9,5.6,0,0,0,0
2015,3,31,0,0,0,0,0,0,1.4,0.9,1.8,11.1,10.9,11.2,0,0,2.7,6,3.8,1,6,2.4,2,3.9,2,2,4.6,6,9.5,6,4,13,20.2,4.8,12.5,19,5.2,14.4,23,6,0,0,0,0
2015,4,1,28,7,5.5,7,2.5,1.5,1.5,2.3,2,0.1,0,0,0,0,4.7,6,9.6,6,2,6.3,7,15.7,0,4,4.8,6,9.7,5,4,12.8,15.5,10.5,14.2,16.6,11.2,15.1,17,12.2,2,1,0.5,0
2015,4,2,0,0,0,0,0,0,3.1,1.9,2.8,7.7,7.8,9.1,0,0,7.6,2,11.2,2,2,3.7,0,8.8,6,6,6.6,3,12.4,2,2,11.6,15.8,7.1,12.2,17.2,6.8,13.3,20.1,7.7,0,0,0,0
2015,4,3,7.5,15.5,10.5,2.5,5.5,3.5,3.2,1.2,1.8,0,0,0.6,0,0,8,2,11.6,2,2,3.7,6,7.4,6,6,4.5,2,8.5,5,2,12.8,15.5,10.8,13.7,15.3,12.6,15.1,19.8,12.9,1,3,1,0
2015,4,4,1,1.5,1,1,1,1.5,2.1,1.2,2,5.4,2.5,3.9,0,0,4.3,6,7.6,6,2,3.3,6,7.1,6,4,4.1,7,7.1,2,2,14.7,19.4,10.8,14.5,18.9,11.2,15.8,19.6,12.4,0.5,0.5,0.5,0
2015,4,5,27,25.5,29,7,4,6.5,1.4,1.3,1.6,0,0,0,0,0,4,2,6.9,2,6,3.1,6,6.3,5,6,3.4,2,6.5,0,1,12.4,13.8,11.6,13.2,14.7,11.6,13.5,14.9,12.7,5,2,2.5,0
2015,4,6,1.5,4.5,10,1,1,5.5,1.5,0.6,1.1,0.1,0,0,0,0,3.9,6,6.8,6,6,3.1,5,6.8,6,4,3,2,5.3,2,2,12.4,16,9.9,12.2,14.2,10.3,13.1,14.8,10,1,0.5,2.5,0
2015,4,7,0,1.5,5,0,1.5,2.5,2.9,3.9,1.9,0,0,0,0,0,6.5,7,11.2,7,7,8.3,6,18.2,7,7,4.2,0,8,0,0,8.4,9.9,7.2,9.3,11.1,7.8,9.2,10,8,0,0.5,1,0
2015,4,8,0.5,1.5,4,0.5,1.5,1.5,3.2,2.6,1.8,4.6,5.4,5.1,0,0,6.6,7,12,7,7,8.8,7,17.5,0,7,4,2,7.7,6,6,6.4,9.5,3.6,6.9,10.9,4.2,6.9,10.8,4,0.5,0.5,0.5,0
2015,4,9,0,0,0,0,0,0,1.2,1.1,1.8,3.4,2.2,3.4,0,0,2.6,3,4,2,6,2.4,6,4.7,5,6,4.3,7,7.7,3,7,8.5,14,1.5,8.5,12.4,3.1,9.2,13.5,3.6,0,0,0,0
2015,4,10,7,8.5,15,1.5,1.5,2,1.5,0.8,1.8,0,0,0,0,0,3.9,2,5.9,2,2,2.7,6,4.8,6,5,3.4,2,6.3,2,2,10,11.3,9.1,10.3,11.6,9.1,10,10.9,9.2,0.5,0.5,0.5,0
2015,4,11,2,3,3,1,1.5,1,2.2,1.8,1.6,2.3,1.2,5.2,0,0,5.3,6,9.8,0,7,6.3,7,12.4,6,6,4.3,7,8.7,0,4,10.9,13.9,7.5,10.7,14.3,5.3,11.6,16,7.4,0.5,0.5,0.5,0
2015,4,12,0,0,0,0,0,0,1.5,1.3,2.1,8.8,7.1,6.2,0,0,4.2,4,7.3,4,2,3.4,6,5.7,4,4,5.2,2,8.8,2,4,11.8,17.9,4.7,11.4,18,3.9,12,19.1,5.4,0,0,0,0
2015,4,13,14.5,18.5,12.5,3.5,4,2.5,2,1.3,2.5,0,0,0,0,0,5.3,2,8.2,3,2,2.8,6,7.1,6,6,4.9,2,9.3,2,2,11.8,13.4,10.6,12.6,14.4,11.1,12.7,14.4,10.8,1,1.5,1,0
2015,4,14,15.5,17.5,11,5,4.5,4,0.8,1.2,1.4,0,0,0,0,0,3.6,6,6.6,7,0,3.8,6,7.5,4,6,3.3,5,8,5,0,12.9,13.9,10.6,14.1,15.8,10.8,14,16.1,12.8,4,2.5,1.5,0
2015,4,15,5,3,9,3,1,4,1.4,1.2,2.2,2.1,2.3,3,0,0,5.3,7,10.8,7,7,4.5,6,9.5,6,6,5.7,6,13.4,5,6,9.9,13.3,6.7,10.6,15.1,7.8,11.3,15.5,8.6,2.5,1,2,0
2015,4,16,0,0,0,0,0,0,1.3,1,1.9,8.4,7.7,8.1,0,0,3.1,2,4.5,2,6,3,2,4.4,2,2,3.9,5,8.5,5,5,11.9,17.6,5.4,11.5,15.8,6.1,15.4,20.8,9.5,0,0,0,0
2015,4,17,6.5,3.5,6,5.5,3.5,3.5,2.5,1.6,1.7,6.3,6.1,7.7,0,0,6.1,7,13,6,6,4.9,0,11.6,1,0,4.7,2,9.6,0,2,11,15.5,5.3,11.9,16.8,6.2,12.8,18.1,7.1,2.5,2.5,2,0
2015,4,18,0,0,0,0,0,0,1.6,1.1,1.9,10.7,10.6,10.7,0,0,2.9,2,4.4,2,6,2.7,2,4.8,2,2,5,6,9.8,5,6,11,19.2,2.7,11.1,17.2,3.9,13.7,22.1,4.8,0,0,0,0
2015,4,19,5.5,3.5,2.5,2,1.5,1,1,0.5,1.2,0,0,0.3,0,0,2.5,0,3.9,2,6,2.3,6,5.8,6,6,3.3,7,4.5,6,6,12.3,15.3,8.5,12.7,15.7,10.6,13.7,15.8,11.6,0.5,0.5,0.5,0
2015,4,20,38,55,30,5.5,8,7,1.7,1.7,1.4,0,0,0,0,0,4.4,2,8.1,0,0,3.6,6,7.4,6,6,4.8,2,8.5,1,2,14.3,18.1,11.2,16.4,19.5,12.1,16,19.3,11.8,2.5,2,2.5,0
2015,4,21,1,2,4.5,1,2.5,3.5,3.2,2.3,1.7,3.1,6.5,3.9,0,0,6.3,7,11.5,7,7,5.3,0,11.9,0,3,3.5,2,6.8,7,2,10.7,14,6.1,12.1,16.3,7.3,12.5,17.4,8.8,0.5,1,1,0
2015,4,22,0,0,0,0,0,0,1.6,1,1.7,10.2,11.2,8.7,0,0,4.4,2,6.8,2,6,2.6,2,5.4,6,2,3.8,7,6.1,2,0,14.5,21.3,5.7,15.2,21.1,7.3,15.1,21.6,8.5,0,0,0,0
2015,4,23,0,0,0,0,0,0,1.6,1.1,1.2,11.7,11.1,11,0,0,3.8,6,7.1,2,6,3,4,5,2,2,2.9,0,5.5,0,6,15.9,22.8,10.2,15,21.1,9,16.7,23.7,10.6,0,0,0,0
2015,4,24,0,0,0,0,0,0,1.7,1.4,1.8,10.6,10.4,10.2,0,0,3.2,6,5.8,1,6,6.2,4,9.5,4,4,4.2,5,9.3,6,5,15.9,22.7,8.3,16.2,23.4,8.9,17.5,24.9,10.3,0,0,0,0
2015,4,25,0,0,0,0,0,0,2.2,1.6,2.1,12.3,11.8,12.3,0,0,4.7,7,9.8,0,6,5,0,9.7,0,0,5.9,2,10.1,1,4,15.3,21.4,9.7,15.3,22.2,9,16,22.9,9.7,0,0,0,0
2015,4,26,0,0,0,0,0,0,1.5,1,2,12.4,12,12.5,0,0,3,1,4.9,1,6,2.8,2,4.4,4,2,4,6,8.9,6,4,14.8,22.6,6,14.7,23.2,6.8,17,25.1,8,0,0,0,0
2015,4,27,0,0,0,0,0,0,1.4,1,1.8,12,11.9,12.4,0,0,2.6,1,4,2,6,2.6,2,4.1,2,2,4.4,5,8.1,4,4,17.6,25,9.8,16.9,24.8,10.5,19.8,27.3,12.1,0,0,0,0
2015,4,28,0,0,0,0,0,0,1.9,0.9,1.5,8.1,7.7,6.3,0,0,5.9,2,8.9,2,6,2.3,2,4.3,2,2,3.7,6,7.1,5,4,18,24.6,11.2,17.8,24.5,11.7,19.8,26.2,14.4,0,0,0,0
2015,4,29,0,0,0,0,0,0,2.4,1.3,2,10.5,9.6,7.2,0,0,5.6,4,8.9,4,2,3.4,4,6.2,4,4,5.5,3,9,4,3,19.7,24.8,16.3,19.4,25.4,16,20,25.8,16.4,0,0,0,0
2015,4,30,0,0,0,0,0,0,1.6,1.1,2,12.4,12.2,12.8,0,0,4.2,4,7.4,4,6,2.6,3,5.5,6,2,5.1,3,9.3,4,7,18.8,24.8,12.1,18.7,25.9,13.1,19.3,26.4,12.9,0,0,0,0
2015,5,1,0,0,0,0,0,0,1.8,1.1,1.8,12.6,12.1,12.1,0,0,3.5,0,7.1,0,6,2.9,3,4.2,3,3,3.8,7,6.4,1,4,18.8,26.2,12.4,19.2,26.3,12.9,20.1,26.7,13.5,0,0,0,0
2015,5,2,0,0,0,0,0,0,1.8,1.2,2,12.7,12.2,12.6,0,0,5.2,4,9.3,4,6,3.6,4,6.8,4,2,5.5,3,9.5,3,4,19.7,28.6,11.9,18.9,27.6,13.2,21.1,30,14.5,0,0,0,0
2015,5,3,0,0,0,0,0,0,1.9,1.3,2,6.1,4.3,4.6,0,0,4,2,6,3,2,3,3,5.7,3,6,4.5,2,8,3,2,19.6,24,14.6,19.8,23.9,16.3,20.7,25.7,16.3,0,0,0,0
2015,5,4,7,5.5,14,3.5,2,9,1.4,2.2,1.5,0,0,0,0,0,4.6,7,9.5,0,1,10.1,7,18.6,0,6,4.6,0,9.4,1,7,17.4,18.9,15.3,17.9,19.9,16.4,18.2,20.4,14.8,3,1.5,4.5,1
2015,5,5,0,0,0,0,0,0,2.8,2.7,1.8,11.5,11.3,11.5,0,0,6,6,10.4,6,6,7.2,7,15.1,0,2,3.9,2,7.9,1,4,15.8,20.4,10.1,17.7,23,13,17.1,23.6,11.8,0,0,0,0
2015,5,6,0,0,0,0,0,0,1.5,1.2,1.7,8.4,8.5,9.2,0,0,3.5,2,5,2,6,3,2,4.5,2,2,3.9,6,6.8,6,4,17,22.5,10.1,17.5,21.5,12.4,18.8,25.5,11.7,0,0,0,0
2015,5,7,0,0,0,0,0,0,1.6,1.1,1.6,5.1,2.9,3.4,0,0,3.9,0,7.5,0,6,2.7,4,6.1,6,4,3.5,0,6.6,0,6,19.2,24.3,15.1,19.2,23.3,15.8,20.3,25.2,17,0,0,0,0
2015,5,8,0,0,0,0,0,0,1.8,1.3,1.7,11.8,10.5,11.8,0,0,3.8,0,9.1,6,6,4.3,2,7.3,2,2,3.8,7,6.5,0,7,18.7,25.7,12.3,19.1,23.5,13.6,20.4,26.4,14.8,0,0,0,0
2015,5,9,0,0,0,0,0,0,1.6,1,1.1,0.7,0.4,0.7,0,0,4.2,6,7,6,6,4.4,7,8.5,7,2,2.2,7,4.8,0,4,17.2,21.4,14.9,17.5,19.7,15.3,17.7,20.4,13.9,0,0,0,0
2015,5,10,0,0,0,0,0,0,3.7,3.4,2.3,12.4,12.1,12.4,0,0,7.8,6,13.9,6,7,6.2,0,15.3,1,0,5.8,1,10.2,0,0,15.6,20.3,10.7,16.7,21.3,13.2,16.7,23.4,12,0,0,0,0
